IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
471;01LEP00129;1.42;;;;0.57732;0.04682;0.0108
472;01LEP00132;1.54;;;;0.33509;0.04378;0.00565
473;01LEP00135;1.2;;;;2.4894;0.15759;0.0156
474;01LEP00138;1.48;;;;0.36908;0.03805;0.00549
475;01LEP00141;1.58;;;;0.01404;0.02811;0.00152
476;01LEP00144;;;;;;;
477;01LEP00147;1.08;;;;1.8615;0.11184;0.0159
478;01LEP00150;1.31;;;;1.4476;0.08254;0.0151
479;01LEP00153;1.07;;;;0.48283;0.05751;0.00581
480;01LEP00156;1.34;;;;0.58739;0.04147;0.00674
481;01LEP00159;1.06;;;;2.1889;0.14925;0.0172
482;01LEP00162;1.17;;;;1.4849;0.09618;0.0194
483;01LEP00165;;;;;1.7549;0.18091;0.0188
484;01LEP00168;;;;;;;
485;09LEP00200;1.19;;;;2.0023;;
486;09LEP00202;1.14;;;;2.2373;;
487;02LEP00600;1.28;;;;2.3997;;
488;02LEP00602;1.2;;;;3.2667;;
489;02LEP00604;1.29;;;;4.149;;
490;02LEP00606;1.25;;;;1.8;;
491;02LEP00608;1.16;;;;2.8977;;
492;09LEP00204;1.28;;;;2.34;;
493;05LEP00300;1.19;4.41;;;2.492;;
494;05LEP00302;1.3;3.7;;;2.1207;0.26309;0.0356
495;05LEP00304;1.33;2.1;;;1.2526;0.17523;0.0196
496;05LEP00306;1.39;1.43;;;1.074;;
497;05LEP00308;1.21;4.83;;;2.47;;
498;05LEP00310;;4.3;;;2.218;;
499;05LEP00312;;7.7;;;3.8883;0.40687;0.0512
500;05LEP00314;;3.6;;;1.7264;0.21306;0.0193
501;05LEP00316;1.09;3.26;;;1.827;;
502;05LEP00318;1.38;1.98;;;1.39;;
503;05LEP00320;1.36;2.8;;;1.681;0.17597;0.0191
504;05LEP00322;1.27;2.91;;;2.056;;
505;05LEP00324;1.29;2.84;;;1.973;;
506;05LEP00326;1.32;1.94;;;2.057;;
507;05LEP00328;1.07;2.41;;;2.455;;
508;05LEP00330;;2.34;;;;;
509;05LEP00332;1.11;3.53;;;2.2058;0.22923;0.0243
510;05LEP00334;1.03;2.73;;;1.4478;0.21861;0.0226
511;05LEP00336;1.19;3.6;;;1.7242;0.22942;0.0281
512;05LEP00338;0.96;4.13;;;2.4826;0.25739;0.0405
513;05LEP00340;1.21;2.77;;;1.35;;
514;05LEP00342;1.08;4.03;;;2.0564;0.25686;0.0271
515;05LEP00344;1.41;2.4;;;1.382;;
516;05LEP00346;0.8;30.2;;;14.67;;
517;05LEP00348;1.31;2.6;;;1.57;;
518;05LEP00350;;3.6;;;1.961;;
519;09LEP00300;1.01;;;;2.9527;;
520;09LEP00302;1;;;;2.9137;;
521;09LEP00304;1.02;;;;3.4257;;
522;09LEP00306;0.9;;;;3.3567;;
523;09LEP00308;1.15;;;;2.9883;;
524;02LEP00700;1.39;;;;2.3427;;
525;02LEP00702;1.19;;;;3.3623;;
526;05LEP00400;1.3;;;;0.9245;;
527;05LEP00402;1.13;;;;3.3314;;
528;05LEP00404;1.23;;;;23.2571;;
529;05LEP00406;0.72;;;;3.142;;
530;09LEP00310;1.28;;;;1.945;;
531;09LEP00312;1.28;;;;1.869;;
