IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
3022;14LEP4003;20;40;;;;2.703;;0.15732;;;;;86.035;31.176;263.896;20.647;7.088;8.997;1.435;2533.302;176.838;;;;7.2767;;
3023;14LEP4004;0;20;;;;2.233;;0.14942;;;;;219.512;43.778;231.603;20.261;12.572;8.539;1.685;2159.533;168.546;;;;13.9537;;
3024;14LEP4005;20;40;;;;2.419;;0.15469;;;;;98.687;41.359;258.733;28.06;6.624;6.978;1.172;2294.901;127.967;;;;6.8851;;
3025;14LEP4006;0;20;;;;1.856;;0.12619;;;;;233.03;19.95;190.744;13.006;8.99;6.219;1.414;1996.709;145.679;;;;14.013;;
3026;14LEP4007;20;40;;;;1.769;;0.10188;;;;;75.823;16.101;152.585;11.457;4.638;3.194;0.773;2375.386;108.55;;;;8.7615;;
3027;14LEP4008;0;20;;;;1.841;;0.08662;;;;;70.043;41.507;259.082;30.386;6.07;2.332;0.38;2146.303;117.064;;;;9.0458;;
3028;14LEP4009;20;40;;;;1.82;;0.11592;;;;;64.631;46.437;237.458;27.635;5.149;2.006;0.314;2259.233;115.092;;;;4.2284;;
3029;14LEP4010;0;20;;;;1.585;;0.11221;;;;;129.146;25.517;168.683;7.727;7.663;4.278;0.878;2060.077;150.62;;;;3.8385;;
3030;14LEP4011;20;40;;;;2.059;;0.12145;;;;;194.848;27.408;207.109;12.545;9.8;5.039;1.034;2099.831;173.215;;;;6.5227;;
3031;14LEP4012;0;20;;;;2.064;;0.11281;;;;;170.975;29.811;195.034;14.194;10.318;5.953;1.302;2066.555;167.162;;;;10.0903;;
3032;14LEP4013;20;40;;;;2.135;;0.13923;;;;;152.644;33.434;173.725;12.842;8.473;5.289;1.187;2227.004;166.948;;;;14.3796;;
3033;14LEP4014;0;20;;;;2.014;;0.14779;;;;;240.223;36.539;354.01;51.429;15.53;7.49;1.498;2064.583;179.053;;;;12.5227;;
3034;14LEP4015;20;40;;;;1.97;;0.14839;;;;;159.15;25.581;234.997;21.314;7.822;4.566;1.04;2165.858;154.965;;;;10.1895;;
3035;14LEP4016;0;20;;;;1.883;;0.12485;;;;;152.473;9.765;259.05;9.475;8.277;2.848;0.391;2179.137;155.031;;;;8.7208;;
3036;14LEP4017;20;40;;;;1.531;;0.08477;;;;;108.28;9.984;196.306;6.715;6.506;2.39;0.272;2203.734;146.69;;;;6.0792;;
3037;14LEP4018;0;20;;;;4.274;;0.25551;;;;;150.74;38.695;374.981;54.01;11.937;5.514;0.912;2402.742;188.284;;;;22.8466;;
3038;14LEP4019;20;40;;;;4.215;;0.21341;;;;;57.286;16.126;290.89;22.65;5.458;4.253;0.642;2344.723;135.366;;;;13.5346;;
3039;14LEP4020;0;20;;;;3.689;;0.22419;;;;;190.261;29.673;584.712;46.445;14.002;8.489;0.841;2667.635;225.184;;;;18.9456;;
3040;14LEP4021;20;40;;;;3.591;;0.21932;;;;;77.743;21.098;362.845;24.106;6.578;4.94;0.539;2343;160.781;;;;10.3404;;
3041;14LEP4022;0;20;;;;3.822;;0.22465;;;;;157.197;50.816;515.564;60.198;14.882;7.094;0.769;2418.056;198.628;;;;21.2353;;
3042;14LEP4023;20;40;;;;3.703;;0.19406;;;;;68.443;14.505;278.383;22.404;5.96;4.656;0.456;2395.461;145.322;;;;3.9509;;
3043;14LEP4024;0;20;;;;3.48;;0.17851;;;;;97.155;47.15;450.239;50.143;13.573;5.184;0.767;2456.501;179.055;;;;14.3718;;
3044;14LEP4025;20;40;;;;2.568;;0.10074;;;;;22.359;18.344;209.907;9.772;2.76;2.649;0.23;2611.994;124.479;;;;5.9048;;
3045;14LEP4026;0;20;;;;2.805;;0.16862;;;;;129.28;48.687;361.396;46.029;11.935;5.317;0.495;2139.716;155.621;;;;12.997;;
3046;14LEP4027;20;40;;;;1.223;;0.05101;;;;;32.843;20.099;146.942;5.968;2.827;1.617;0.249;2044.884;77.227;;;;1.868;;
3047;14LEP4028;0;20;;;;2.428;;0.13266;;;;;120.337;40.132;374.569;31.895;11.089;5.179;0.5;2074.678;142.721;;;;6.0647;;
3048;14LEP4029;20;40;;;;1.541;;0.07534;;;;;47.421;12.017;144.885;3.018;4.706;2.274;0.124;2317.378;132.176;;;;1.7715;;
3049;14LEP4030;0;20;;;;2.952;;0.16076;;;;;96.06;30.572;634.141;42.569;12.617;6.304;0.886;2154.734;156.407;;;;23.2451;;
3050;14LEP4031;20;40;;;;2.998;;0.16377;;;;;55.706;25.213;380.789;27.819;4.844;3.694;0.372;2131.691;130.779;;;;3.8179;;
3051;14LEP4032;0;20;;;;2.615;;0.18399;;;;;212.275;80.273;562.487;85.298;13.771;9.542;14.38;1960.389;175.101;;;;16.3622;;
3052;14LEP4033;20;40;;;;2.576;;0.17659;;;;;213.252;55.429;486.074;67.434;9.945;8.572;15.466;2019.46;176.012;;;;4.8323;;
3053;14LEP4034;0;20;;;;2.249;;0.15891;;;;;280.458;65.006;568.228;60.197;11.689;10.735;15.781;1842.229;206.293;;;;27.3474;;
3054;14LEP4035;20;40;;;;2.412;;0.16838;;;;;254.634;47.457;543.667;50.008;10.013;10.842;17.195;1829.32;190.803;;;;13.285;;
3055;14LEP4036;0;20;;;;2.136;;0.1453;;;;;324.189;94.995;686.025;87.489;10.997;11.156;13.975;1735.017;195.698;;;;26.854;;
3056;14LEP4037;20;40;;;;2.681;;0.19521;;;;;300.855;78.58;657.035;83.123;9.292;11.115;14.634;1622.67;183.922;;;;13.434;;
3057;14LEP4038;0;20;;;;1.905;;0.12857;;;;;308.893;91.992;587.918;79.218;11.261;10.267;9.169;1805.166;173.52;;;;19.0761;;
3058;14LEP4039;20;40;;;;1.729;;0.11118;;;;;239.58;72.007;551.677;61.527;8.321;9.15;8.936;1896.632;150.947;;;;14.6059;;
3059;14LEP4040;0;20;;;;1.953;;0.11745;;;;;201.662;59.075;684.448;137.015;8.395;8.067;11.091;1865.86;157.746;;;;18.2513;;
3060;14LEP4041;20;40;;;;1.786;;0.09826;;;;;118.904;39.991;469.735;91.409;4.727;4.854;7.408;1905.154;105.709;;;;11.6394;;
3061;14LEP4042;0;20;;;;2.765;;0.19296;;;;;303.074;128.949;655.248;96.742;13.072;13.309;18.753;1978.418;220.493;;;;3.3025;;
3062;14LEP4043;20;40;;;;2.527;;0.17215;;;;;307.788;96.785;599.798;90.384;10.311;11.277;17.195;1932.245;209.36;;;;60.0552;;
3063;14LEP4044;0;20;;;;1.945;;0.13451;;;;;319.476;84.695;702.245;83.268;11.692;12.321;14.306;1785.019;185.691;;;;25.746;;
3064;14LEP4045;20;40;;;;1.956;;0.14637;;;;;332.42;80.286;561.406;77.123;9.23;11.919;14.024;1781.783;182.074;;;;12.006;;
3065;14LEP4046;0;20;;;;1.756;;0.10769;;;;;305.575;86.172;465.813;73.737;9.987;8.703;9.682;1627.642;149.935;;;;12.8047;;
3066;14LEP4047;20;40;;;;1.487;;0.09636;;;;;261.699;42.405;351.835;49.101;6.842;6.892;9.962;1705.752;145.204;;;;10.572;;
3067;14LEP4048;0;20;;;;2.85;;0.22709;;;;;66.51;172.809;1096.173;79.293;23.337;3.093;1.575;1143.775;309.031;;;;11.2762;;
3068;14LEP4049;20;40;;;;2.585;;0.21536;;;;;41.164;97.586;1070.072;74.659;13.356;1.83;1.382;1229.874;295.87;;;;20.1545;;
3069;14LEP4050;0;20;;;;2.632;;0.21218;;;;;130.918;223.338;902.879;77.414;24.426;3.456;1.477;1181.792;356.981;;;;22.5992;;
3070;14LEP4051;20;40;;;;2.282;;0.17811;;;;;43.448;61.304;776.022;55.328;9.06;1.875;1.244;1245.377;317.068;;;;11.5194;;
3071;14LEP4052;0;20;;;;1.755;;0.14376;;;;;98.601;138.922;647.267;51.547;25.412;2.922;1.165;988.227;382.361;;;;41.058;;
3072;14LEP4053;20;40;;;;1.426;;0.09968;;;;;65.428;47.474;687.205;45.916;15.721;1.865;1.071;875.677;316.255;;;;15.2909;;
3073;14LEP4054;0;20;;;;1.918;;0.15513;;;;;130.508;159.366;775.969;76.406;40.946;3.22;1.318;1103.796;522.243;;;;17.898;;
3074;14LEP4055;20;40;;;;1.943;;0.15407;;;;;79.926;91.263;895.99;50.865;16.709;1.559;1.275;1102.135;339.184;;;;0;;
3075;14LEP4056;0;20;;;;2.528;;0.20118;;;;;157.828;315.618;1286.617;82.808;22.389;2.967;1.788;1173.613;409.204;;;;22.2965;;
3076;14LEP4057;20;40;;;;2.537;;0.197;;;;;83.039;126.582;1326.469;83.274;16.682;1.795;1.621;1140.839;341.961;;;;11.6824;;
3077;14LEP4058;0;20;;;;2.683;;0.21231;;;;;218.314;661.635;1343.421;96.593;20.59;3.844;1.721;1297.247;449.291;;;;10.4842;;
3078;14LEP4059;20;40;;;;2.231;;0.18645;;;;;120.528;468.657;892.502;53.878;7.724;1.656;1.458;1317.907;393.001;;;;6.8674;;
3079;14LEP4060;0;20;;;;2.108;;0.18114;;;;;196.62;516.237;842.249;72;14.495;3.666;1.249;1190.435;345.885;;;;98.9439;;
3080;14LEP4061;20;40;;;;0.717;;0.05916;;;;;56.059;338.822;296.568;19.763;6.091;1.051;0.727;986.774;231.274;;;;14.913;;
3081;14LEP4062;0;20;;;;2.978;;0.2503;;;;;238.028;339.428;1352.031;77.528;18.896;3.341;2.177;1324.737;519.915;;;;179.0483;;
3082;14LEP4063;20;40;;;;2.455;;0.18926;;;;;168.757;247.911;1227.099;64.183;9.699;2.009;2.059;1268.858;424.66;;;;0;;
3083;14LEP4064;0;20;;;;2.598;;0.22157;;;;;187.506;275.634;982.39;81.567;34.526;3.88;0.948;1437.131;757.231;;;;23.0258;;
3084;14LEP4065;20;40;;;;2.726;;0.22874;;;;;122.994;197.819;1401.576;71.161;13.212;2.244;1.433;1250.166;444.667;;;;0;;
3085;14LEP4066;0;20;;;;2.23;;0.18567;;;;;201.514;167.918;620.895;48.947;22.014;4.317;1.195;1147.408;466.616;;;;6.9855;;
3086;14LEP4067;20;40;;;;1.168;;0.09195;;;;;60.096;89.59;517.024;30.448;10.595;1.229;0.789;1005.282;387.861;;;;17.162;;
3087;14LEP4068;0;20;;;;2.481;;0.20526;;;;;169.092;234.74;761.904;54.76;28.228;4.539;1.424;1134.913;339.483;;;;28.1429;;
3088;14LEP4069;20;40;;;;1.738;;0.11981;;;;;68.336;54.703;650.479;36.28;14.863;1.739;1.103;1206.793;365.956;;;;15.0078;;
3089;14LEP4070;0;20;;;;1.893;;0.15595;;;;;126.71;120.27;558.26;54.293;20.666;3.625;2.12;969.054;326.446;;;;34.8538;;
3090;14LEP4071;20;40;;;;1.838;;0.15868;;;;;78.782;83.144;586.57;46.174;15.088;2.258;2.185;884.493;247.482;;;;10.5461;;
3091;14LEP4072;0;20;;;;2.165;;0.18618;;;;;123.047;184.055;530.962;56.458;23.017;4.245;2.022;1008.621;333.511;;;;11.4291;;
3092;14LEP4073;20;40;;;;1.798;;0.15515;;;;;74.875;93.776;735.935;44.924;18.102;2.305;1.833;990.239;286.25;;;;14.3223;;
3093;14LEP4074;0;20;;;;2.321;;0.2059;;;;;90.245;140.428;861.331;64.649;22.139;3.186;2.231;1247.802;325.33;;;;15.6528;;
3094;14LEP4075;20;40;;;;2.022;;0.174;;;;;43.286;47.574;853.084;41.882;15.392;1.46;1.801;1071.14;253.262;;;;11.8843;;
3095;14LEP4076;0;20;;;;2.636;;0.23722;;;;;58.853;223.417;782.081;80.857;15.516;2.845;2.163;1252.821;319.297;;;;7.6842;;
3096;14LEP4077;20;40;;;;2.373;;0.21972;;;;;44.248;104.797;816.992;56.443;11.515;2.065;2.356;1255.543;301.818;;;;21.305;;
3097;14LEP4078;0;20;;;;2.323;;0.21068;;;;;39.971;80.426;863.664;72.463;17.862;2.341;1.802;1173.794;286.461;;;;10.3846;;
3098;14LEP4079;20;40;;;;2.333;;0.20649;;;;;36.88;52.226;733.888;54.726;15.485;1.901;1.47;1165.462;304.378;;;;23.5113;;
3099;14LEP4080;0;20;;;;2.593;;0.23907;;;;;51.461;299.146;715.395;82.48;16.726;3.051;2.058;1314.003;336.668;;;;37.0728;;
3100;14LEP4081;20;40;;;;2.197;;0.21783;;;;;30.48;98.974;588.938;44.136;8.488;1.51;1.807;1333.103;318.059;;;;11.4614;;
3101;14LEP4082;0;20;;;;2.19;;0.1999;;;;;67.8;121.039;620.405;59.952;14.019;3.001;1.548;1125.908;343.255;;;;14.9647;;
3102;14LEP4083;20;40;;;;1.908;;0.17049;;;;;43.772;87.361;595.319;52.315;11.218;1.995;1.432;1135.805;318.48;;;;14.6177;;
3103;14LEP4084;0;20;;;;2.13;;0.17703;;;;;74.484;142.93;368.496;34.413;21.506;3.345;1.292;1149.484;347.694;;;;13.3877;;
3104;14LEP4085;20;40;;;;1.333;;0.11211;;;;;29.374;80.896;242.773;18.912;10.158;1.708;0.805;975.414;248.66;;;;17.4843;;
3105;14LEP4086;0;20;;;;2.228;;0.19167;;;;;60.537;240.307;450.933;47.851;21.419;2.937;1.391;1193.577;317.949;;;;13.1291;;
3106;14LEP4087;20;40;;;;1.926;;0.17565;;;;;46.998;136.637;351.126;29.394;17.927;2.083;1.211;1195.758;281.819;;;;20.2344;;
3107;14LEP4088;0;20;;;;2.471;;0.21631;;;;;48.83;153.715;504.966;45.709;18.228;2.547;1.514;1201.934;353.257;;;;20.362;;
3108;14LEP4089;20;40;;;;1.178;;0.10135;;;;;42.946;49.417;358.555;22.632;12.594;1.93;1.296;1161.599;305.033;;;;10.611;;
3109;14LEP4090;0;20;;;;1.992;;0.18277;;;;;35.224;54.828;407.364;23.887;12.415;1.791;1.444;1278.951;326.606;;;;9.719;;
3110;14LEP4091;20;40;;;;1.567;;0.13863;;;;;18;29.673;317.381;19.853;11.027;1.189;0.809;815.498;265.317;;;;12.4612;;
3111;14LEP4092;0;20;;;;4.339;;0.26896;;;;;206.245;195.407;743.479;109.706;6.547;2.722;3.89;2371.393;247.564;;;;;;
3112;14LEP4093;20;20;;;;4.58;;0.28882;;;;;180.432;155.593;605.556;66.843;5.512;2.825;4.329;2420.31;232.748;;;;;;
3113;14LEP4094;0;20;;;;4.024;;0.24921;;;;;225.37;148.733;599.386;60.007;6.534;2.921;5.166;2524.354;234.365;;;;;;
3114;14LEP4095;0;20;;;;1.673;;0.10231;;;;;308.911;110.878;374.325;42.663;6.088;2.942;0.768;2004.621;193.527;;;;;;
3115;14LEP4096;0;20;;;;2.304;;0.15919;;;;;248.805;161.142;485.126;47.661;7.614;3.835;1.024;2043.513;195.748;;;;;;
3116;14LEP4097;0;20;;;;2.809;;0.18419;;;;;308.119;163.581;572.936;57.758;8.408;4.737;1.284;2289.23;246.956;;;;;;
3117;14LEP4098;0;20;;;;2.85;;0.19372;;;;;62.956;31.159;867.521;173.795;11.536;5.453;0.527;2023.549;168.073;;;;;;
3118;14LEP4099;20;40;;;;1.43;;0.08049;;;;;42.777;21.122;412.604;85.683;4.118;1.574;0.158;1952.431;95.569;;;;;;
3119;14LEP4100;0;20;;;;2.622;;0.16699;;;;;63.012;30.584;863.076;164.624;10.131;5.581;0.626;2200.269;161.957;;;;;;
3120;14LEP4101;20;40;;;;2.584;;0.1508;;;;;27.142;43.847;840.619;200.449;5.068;3.087;0.212;2119.54;148.961;;;;;;
3121;14LEP4102;0;20;;;;3.346;;0.21272;;;;;56.408;29.929;780.594;99.538;9.642;5.416;0.375;2061.525;151.022;;;;;;
3122;14LEP4103;20;40;;;;3.238;;0.21012;;;;;56.651;33.642;722.98;93.812;9.271;5.702;0.444;2025.694;153.014;;;;;;
3123;14LEP4104;0;20;;;;2.873;;0.1527;;;;;230.059;40.474;1053.058;96.167;15.831;8.749;1.443;2308.967;182.045;;;;12.5659;;
3124;14LEP4105;20;40;;;;2.448;;0.12416;;;;;127.541;34.469;1018.389;84.383;7.347;5.297;0.897;2060.529;135.336;;;;31.4065;;
3125;14LEP4106;0;20;;;;2.618;;0.13835;;;;;167.718;64.233;1078.664;93.358;10.519;7.653;1.218;2173.928;171.079;;;;11.7968;;
3126;14LEP4107;20;40;;;;2.39;;0.10745;;;;;102.641;41.395;827.909;59.447;4.813;4.296;0.792;2219.212;161.262;;;;24.7135;;
3127;14LEP4108;0;20;;;;2.54;;0.13779;;;;;186.261;55.66;1116.425;100.856;12.387;7.735;1.076;2246.786;171.949;;;;13.9509;;
3128;14LEP4109;20;40;;;;2.198;;0.11241;;;;;137.91;39.617;920.138;78.896;7.78;5.354;0.867;2168.814;147.891;;;;23.8031;;
3129;14LEP4110;0;20;;;;3.306;;0.19978;;;;;303.388;81.557;939.575;80.388;11.635;12.056;5.37;2073.573;198.547;;;;20.7483;;
3130;14LEP4111;20;40;;;;2.847;;0.16278;;;;;219.33;48.61;872.959;69.355;5.845;7.166;4.417;2079.364;161.516;;;;11.9808;;
3131;14LEP4112;0;20;;;;2.552;;0.14615;;;;;286.464;58.602;944.53;91.297;12.642;12.254;5.405;2011.976;184.354;;;;11.7252;;
3132;14LEP4113;20;40;;;;2.064;;0.11964;;;;;219.409;33.532;870.212;72.312;7.906;5.538;4.222;2035.364;171.202;;;;9.7299;;
3133;14LEP4114;0;20;;;;2.497;;0.15961;;;;;282.34;71.02;1112.383;99.541;12.561;12.454;5.364;1972.937;180.989;;;;6.9264;;
3134;14LEP4115;20;40;;;;2.348;;0.12642;;;;;180.399;37.108;778.989;55.853;6.055;6.344;4.171;1966.765;162.321;;;;9.0663;;
3135;14LEP4116;0;20;;;;2.814;;0.17016;;;;;305.318;67.783;897.679;71.734;12.699;13.858;6.387;2045.413;198.052;;;;7.6784;;
3136;14LEP4117;20;40;;;;3.326;;0.19455;;;;;215.318;59.949;905.265;72.385;7.536;9.197;6.274;2053.417;185.3;;;;14.6811;;
3137;14LEP4118;0;20;;;;2.769;;0.17971;;;;;232.899;67.61;684.851;50.207;9.402;13.693;6.354;1868.219;186.416;;;;14.2094;;
3138;14LEP4119;20;40;;;;2.686;;0.16253;;;;;209.098;47.836;854.857;57.314;7.086;10.351;6.103;2011.182;189.581;;;;13.2764;;
3139;14LEP4120;0;20;;;;1.884;;0.12092;;;;;163.574;39.068;453.749;29.865;7.254;7.066;2.229;1944.511;114.576;;;;8.9752;;
3140;14LEP4121;20;40;;;;1.141;;0.06371;;;;;117.786;27.277;375.424;23.613;5.056;3.496;1.319;2054.916;93.166;;;;6.4651;;
3141;14LEP4122;0;20;;;;2.943;;0.19569;;;;;197.733;81.887;914.806;85.452;11.731;11.741;6.189;2244.833;182.333;;;;2.7482;;
3142;14LEP4123;20;40;;;;2.344;;0.13973;;;;;146.05;50.547;1088.471;92.428;7.636;8.56;5.481;2240.648;164.786;;;;13.8034;;
3143;14LEP4124;0;20;;;;1.634;;0.088;;;;;189.115;70.415;551.508;45.234;9.654;7.711;2.964;1980.05;131.3;;;;10.2024;;
3144;14LEP4125;20;40;;;;1.085;;0.06092;;;;;166.789;43.695;639.747;46.973;7.881;5.241;2.498;2029.553;121.78;;;;5.8727;;
3145;14LEP4126;0;20;;;;2.314;;0.13522;;;;;132.357;45.867;886.8;50.458;11.173;9.815;1.26;2081.462;161.062;;;;5.1672;;
3146;14LEP4127;20;40;;;;1.78;;0.07908;;;;;96.277;17.758;794.121;45.406;6.458;5.031;0.557;2137.928;121.76;;;;117.224;;
3147;14LEP4128;0;20;;;;3.064;;0.17982;;;;;97.273;78.773;1242.964;77.167;16.475;12.183;1.22;2155.124;147.518;;;;5.5001;;
3148;14LEP4129;20;40;;;;2.257;;0.12533;;;;;68.301;35.472;1109.461;60.102;8.377;7.254;0.796;2193.828;134.529;;;;17.8163;;
3149;14LEP4130;0;20;;;;2.508;;0.13153;;;;;145.515;55.301;1093.16;94.626;13.75;11.32;1.247;1939.018;145.066;;;;15.8983;;
3150;14LEP4131;20;40;;;;1.316;;0.07527;;;;;81.76;14.887;552.472;32.444;6.828;4.246;0.441;2014.833;103.492;;;;6.8575;;
3151;14LEP4132;0;20;;;;2.308;;0.13382;;;;;148.125;55.454;1061.3;66.744;14.727;10.316;1.205;2051.746;161.702;;;;13.7783;;
3152;14LEP4133;20;40;;;;2.023;;0.11191;;;;;81.94;34.209;946.757;57.2;7.068;5.242;0.87;2007.333;125.484;;;;11.7154;;
3153;14LEP4134;0;20;;;;3.018;;0.1827;;;;;120.899;45.75;1083.757;71.284;11.916;8.155;0.862;2516.683;173.143;;;;13.9698;;
3154;14LEP4135;20;40;;;;2.594;;0.11916;;;;;81.036;27.617;1056.466;65.829;7.535;6.465;0.706;2266.662;147.189;;;;17.2819;;
3155;14LEP4136;0;20;;;;2.412;;0.13305;;;;;165.453;51.668;1108.096;69.827;14.531;10.357;1.18;2334.793;166.052;;;;17.0072;;
3156;14LEP4137;20;40;;;;2.362;;0.13273;;;;;116.574;24.689;1030.505;59.397;11.087;6.974;0.761;2268.549;144.488;;;;18.8945;;
3157;14LEP4138;0;20;;;;2.659;;0.15675;;;;;137.604;55.029;1080.103;71.076;11.993;9.03;1.134;2122.919;144.924;;;;13.9325;;
3158;14LEP4139;20;40;;;;2.259;;0.13087;;;;;77.937;25.023;942.68;57.263;7.642;5.375;0.743;2143.607;125.364;;;;15.3205;;
3159;14LEP4140;0;20;;;;2.193;;0.12212;;;;;214.973;64.887;1052.754;101.86;16.809;10.975;1.089;2092.343;174.101;;;;12.0471;;
3160;14LEP4141;20;40;;;;2.231;;0.13687;;;;;151.603;42.602;1001.929;84.293;11.434;7.799;1.217;1875.442;141.166;;;;14.174;;
3161;14LEP4142;0;20;;;;2.693;;0.16125;;;;;85.478;23.534;524.459;33.913;13.303;6.34;0.449;2174.015;118.879;;;;12.1463;;
3162;14LEP4143;20;40;;;;1.31;;0.0747;;;;;48.794;42.47;336.704;20.892;6.465;2.568;0.112;2029.681;69.659;;;;6.5836;;
3163;14LEP4144;0;20;;;;3.095;;0.18065;;;;;97.232;52.342;751.528;73.886;19.272;7.728;0.62;2120.326;142.343;;;;11.7622;;
3164;14LEP4145;20;40;;;;2.726;;0.17617;;;;;67.461;66.98;893.984;88.322;12.278;6.558;0.405;2143.411;130.129;;;;10.3985;;
3165;14LEP4146;0;20;;;;4.245;;0.24856;;;;;92.958;40.474;583.014;56.619;18.406;9.425;0.668;2381.137;175.584;;;;17.4075;;
3166;14LEP4147;20;40;;;;3.537;;0.19695;;;;;45.797;42.554;639.232;56.885;9.253;4.949;0.527;2456.344;197.709;;;;14.3326;;
3167;14LEP4148;0;20;;;;3.632;;0.21412;;;;;85.422;42.837;708.285;75.494;16.648;8.848;0.758;2429.951;151.783;;;;15.3498;;
3168;14LEP4149;20;40;;;;2.381;;0.13349;;;;;67.499;24.281;633.268;65.142;12.216;7.291;0.999;2350.753;130.799;;;;16.3358;;
3169;14LEP4150;0;20;;;;3.338;;0.17829;;;;;101.071;33.746;560.031;51.467;22.737;10.529;0.842;2595.844;147.646;;;;15.9529;;
3170;14LEP4151;20;40;;;;2.617;;0.15322;;;;;72.655;55.742;518.021;37.914;14.357;6.86;0.74;2331.812;111.134;;;;16.7348;;
3171;14LEP4152;0;20;;;;3.024;;0.19396;;;;;88.489;92.015;418.198;27.854;17.064;7.926;0.626;2223.951;120.843;;;;15.6578;;
3172;14LEP4153;20;40;;;;2.847;;0.17112;;;;;97.551;91.907;407.761;23.535;16.977;8.081;0.516;2392.623;127.142;;;;15.1161;;
3173;14LEP4154;0;20;;;;2.716;;0.15288;;;;;103.441;19;438.902;25.143;17.131;8.615;0.485;2323.577;134.307;;;;14.1367;;
3174;14LEP4155;20;40;;;;3.047;;0.20297;;;;;83.33;30.387;490.914;31.777;12.588;6.74;0.321;2516.441;134.277;;;;9.8935;;
3175;14LEP4156;0;20;;;;3.089;;0.19604;;;;;81.089;20.648;454.039;28.828;13.296;6.357;0.462;2233.911;117.831;;;;;;
3176;14LEP4157;20;40;;;;2.806;;0.18096;;;;;200.447;195.299;1034.563;190.725;79.5;1.635;1.292;1430.268;372.81;;;;;;
3177;14LEP4158;0;20;;;;1.445;;0.13357;;;;;67.681;20.823;414.114;26.939;11.096;4.899;0.449;2271.787;98.709;;;;;;
3178;14LEP4159;0;20;;;;1.818;;0.15599;;;;;199.633;166.623;916.566;166.103;92.467;1.726;1.326;1360.372;395.718;;;;;;
3179;14LEP4160;0;20;;;;1.81;;0.16783;;;;;211.104;145.586;837.88;159.86;76.113;1.424;1.214;1322.04;372.297;;;;;;
3180;14LEP4161;0;20;;;;2.483;;0.1514;;;;;142.841;56.107;693.166;25.467;13.882;14.533;0.833;2258.685;153.762;;;;;;
3181;14LEP4162;0;20;;;;1.755;;0.08758;;;;;144.658;35.568;461.496;16.306;11.875;9.699;0.654;2236.798;178.202;;;;;;
3182;14LEP4163;0;20;;;;2.071;;0.13448;;;;;132.73;39.274;431.059;16.34;10.281;10.299;0.849;2173.218;144.976;;;;;;
3183;14LEP4164;0;20;;;;2.408;;0.14403;;;;;248.571;45.591;787.565;53.883;17.431;10.299;2.218;2101.118;177.907;;;;14.937;;
3184;14LEP4165;20;40;;;;2.329;;0.15336;;;;;204.335;31.945;530.913;32.703;11.771;5.608;1.881;2220.532;161.463;;;;12.7898;;
3185;14LEP4166;0;20;;;;2.401;;0.13575;;;;;234.117;26.644;651.329;46.375;14.044;8.468;2.027;2149.782;179.135;;;;15.3064;;
3186;14LEP4167;20;40;;;;2.456;;0.17208;;;;;232.945;23.619;569.533;32.755;11.354;6.395;2.124;2439.672;196.028;;;;10.5992;;
3187;14LEP4168;0;20;;;;2.434;;0.15166;;;;;253.134;55.857;737.512;55.8;19.753;11.103;2.038;2176.475;181.538;;;;21.67;;
3188;14LEP4169;20;40;;;;2.42;;0.16077;;;;;193.426;33.24;579.307;35.169;14.207;7.407;2.097;2328.612;170.722;;;;14.4911;;
3189;14LEP4170;0;20;;;;2.542;;0.16373;;;;;224.965;26.166;370.296;20.164;19.157;9.487;1.66;2357.23;174.515;;;;13.567;;
3190;14LEP4171;20;40;;;;2.542;;0.16988;;;;;151.346;16.4;255.69;11.085;12.085;6.912;1.321;2234.937;135.688;;;;10.607;;
3191;14LEP4172;0;20;;;;2.354;;0.14084;;;;;210.487;17.645;526.233;26.748;18.279;10.858;1.646;2335.072;171.895;;;;17.6357;;
3192;14LEP4173;20;40;;;;2.471;;0.15715;;;;;144.303;13.468;385.293;15.817;10.424;6.347;1.493;2333.563;147.459;;;;11.896;;
3193;14LEP4174;0;20;;;;2.195;;0.13467;;;;;185.46;24.881;638.366;41.291;14.659;8.299;1.531;2137.701;156.518;;;;19.87;;
3194;14LEP4175;20;40;;;;2.61;;0.15586;;;;;134.212;13.473;370.359;17.71;7.786;3.182;1.194;2185.61;143.008;;;;14.4474;;
3195;14LEP4176;0;20;;;;2.519;;0.14749;;;;;162.831;21.387;622.216;41.053;15.733;8.468;1.513;2144.734;149.077;;;;14.6202;;
3196;14LEP4177;20;40;;;;2.195;;0.11688;;;;;144.743;16.096;432.43;24.963;11.652;4.893;1.192;2445.511;159.555;;;;10.9433;;
3197;14LEP4178;0;20;;;;2.239;;0.13738;;;;;255.998;34.019;419.537;23.904;22.269;11.523;1.85;2386.453;189.015;;;;14.3291;;
3198;14LEP4179;20;40;;;;2.491;;0.13768;;;;;208.572;24.192;390.614;21.405;14.746;8.113;1.584;2312.673;173.605;;;;14.5066;;
