IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
1175;14LEP01245;0;20;;;;2.156;0.00221;0.2343;4.45;;;;84.05;154.15;437.16;50.63;35.93;0.95;0.15;1272.77;260.71;;;;;;
216;01LEP00568;0;30;1.79;;;1.421;0.00085;0.05727;4.46;;;;98.43;65.3;284;47;;;;1096.12;;;;;;;
236;01LEP00608;0;30;1.38;;;1.705;0.01057;0.1419;4.46;;;;247.7;248;819;74;;;;1808.69;;;;;;;
290;01LEP00527;30;60;;;;;;;4.46;4.86;;;19.66;264.4;1227;112;;;;1748;;;;;;;
308;01LEP00565;30;60;;;;;;;4.46;4.64;;;19.13;142.7;239;26;;;;2320;;;;;;;
393;01LEP00071;15;30;4.54;;;3.111;0.0164;0.1446;4.46;;;;7.79;33;331;17;;;;2163;;;;;;;
453;01LEP00075;30;60;;;;;;;4.46;;;;1310;3.7;58;4;;;;2617;;;;;;;
203;01LEP00542;0;30;2.34;;;2.008;0.04104;0.1229;4.47;4.53;;6.4;165.3;209;182;98.1;;;;2125.69;;;;;;;
426;01LEP00170;15;30;3.92;;;2.912;0.01833;0.1601;4.47;;;;7.89;17.5;132;7;;;;2251;;;;;;;
437;01LEP00024;30;60;;;;;;;4.47;;;;800;112.8;571;129;;;;1336;;;;;;;
584;10LEP00134;0;20;;;;0.89;;;4.47;;;;124.18;;;;;;;1044.14;180.84;;;;;;
1205;14LEP01275;0;20;;;;1.479;0.01104;0.1734;4.47;;;;42.61;91.86;271.81;32.51;21.6;0.58;0.21;1211.13;213.72;;;;;;
394;01LEP00074;15;30;4.82;;;3.735;0.01706;0.1473;4.48;;;;5.88;9.3;100;5;;;;2199;;;;;;;
401;01LEP00095;15;30;0.69;;;0.939;-0.00041;0.0513;4.48;;;;15.41;11.9;313;40;;;;1890;;;;;;;
800;14LEP00052;0;20;;;;2.048;0.06761;0.1854;4.48;5.05;;6.74;40.42;172.43;460.23;29.72;21.32;4.43;4.16;1105.86;342.65;7.266;13.79;9.83;;;
947;14LEP01016;0;20;;;;3.347;0.02816;0.2203;4.48;;;;102.77;45.9;284.81;32.87;15.17;3.55;0.58;2222.13;166.13;;;;15.661;;
953;14LEP01022;0;20;;;;3.172;0.03344;0.1992;4.48;;;;81.17;46.03;254.41;17.05;11.71;3.28;0.24;2059.38;142.46;;;;12.909;;
